,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
129,2020-08-21,5587507,44531,41833.4713698349,173944,1106,972.7276130715003,173944
130,2020-08-22,5637003,49496,41507.910268162705,175048,1104,972.610083358628,175048
131,2020-08-23,5682001,44998,41440.31243250156,176036,988,970.7920380910457,176036
132,2020-08-24,5716804,34803,41582.80557583388,176526,490,966.5037275724321,176526
133,2020-08-25,5752138,35334,41869.15011748717,176970,444,959.198871562361,176970
134,2020-08-26,5792924,40786,42221.084098633306,178205,1235,948.6013859840086,178205
135,2020-08-27,5835285,42361,42555.8411336305,179376,1171,934.7281209122949,179376
136,2020-08-28,5881532,46247,42794.13070835419,180503,1127,917.8860754379986,180503
137,2020-08-29,5928341,46809,42867.82658942301,181445,942,898.644797572891,181445
138,2020-08-30,5973893,45552,42726.636680080504,182428,983,877.786816588577,182428
139,2020-08-31,6008837,34944,42343.12352310174,182871,443,856.2408032871778,182871
140,2020-09-01,6043627,34790,41715.59957329761,183319,448,835.0035524421746,183319
141,2020-09-02,6087407,43780,40868.62059791144,184380,1061,815.0577160404215,184380
142,2020-09-03,6127152,39745,39851.02527279245,185436,1056,797.2924238269146,185436
143,2020-09-04,6164173,37021,38731.698081128205,186465,1029,782.4335042094274,186465
144,2020-09-05,6215262,51089,37593.444537729236,187442,977,770.9890156853961,187442
145,2020-09-06,6259233,43971,36525.54281094165,188275,833,763.2143192739283,188275
146,2020-09-07,6290547,31314,35615.65780233542,188709,434,759.0991090825094,188709
147,2020-09-08,6315064,24517,34941.86152665896,189020,311,758.3768408454723,189020
148,2020-09-09,6340490,25426,34565.492131201536,189483,463,760.5550374456557,189483
149,2020-09-10,6375681,35191,34525.50452932107,190611,1128,764.9631805658858,190611
150,2020-09-11,6410312,34631,34834.82615345866,191530,919,770.8134716142763,191530
151,2020-09-12,6458568,48256,35479.045079328935,192682,1152,777.2687808740618,192682
152,2020-09-13,6500846,42278,36417.5423373009,193434,752,783.5116745712982,193434
153,2020-09-14,6535779,34933,37586.955816104484,193828,394,788.8085379978119,193828
154,2020-09-15,6568719,32940,38906.65067987873,194249,421,792.5634705743576,194249
155,2020-09-16,6608192,39473,40285.69029802728,195455,1206,794.3577401342994,195455
156,2020-09-17,6646493,38301,41630.668869618334,196414,959,793.9720339840335,196414
157,2020-09-18,6691943,45450,42853.694132218785,197277,863,791.3903911141392,197277
158,2020-09-19,6741352,49409,43879.8020023698,198241,964,786.7863871747304,198241
159,2020-09-20,6784794,43442,44653.144689423534,198947,706,780.4937163016157,198947
