,date,total_confirmed,new_confirmed,new_confirmed_after_fft
489,2021-08-16,3339500,5473,16063.152972844235
490,2021-08-17,3356260,16760,16152.328991427858
491,2021-08-18,3384466,28206,16225.638408344043
492,2021-08-19,3402025,17559,16286.888510724668
493,2021-08-20,3419098,17073,16339.812298230005
494,2021-08-21,3442026,22928,16388.08576249198
495,2021-08-22,3459060,17034,16435.34270157873
496,2021-08-23,3462334,3274,16485.169878144337
497,2021-08-24,3476394,14060,16541.067146805097
498,2021-08-25,3499482,23088,16606.361228247853
499,2021-08-26,3520818,21336,16684.067744685188
500,2021-08-27,3534862,14044,16776.70337380641
501,2021-08-28,3557337,22475,16886.057769248706
502,2021-08-29,3566549,9212,17012.942373584858
503,2021-08-30,3570135,3586,17156.93953661431
504,2021-08-31,3592504,22369,17316.179644524622
505,2021-09-01,3612246,19742,17487.17562539521
506,2021-09-02,3639659,27413,17664.742823929017
507,2021-09-03,3661241,21582,17842.027726715733
508,2021-09-04,3686502,25261,18010.661581533524
509,2021-09-05,3701024,14522,18161.04511702466
510,2021-09-06,3703715,2691,18282.759136185345
511,2021-09-07,3708013,4298,18365.08374221798
512,2021-09-08,3727663,19650,18397.59749157548
513,2021-09-09,3768545,40882,18370.818002706364
514,2021-09-10,3793204,24659,18276.838527191074
515,2021-09-11,3812711,19507,18109.911553549224
516,2021-09-12,3821518,8807,17866.931206396363
517,2021-09-13,3823937,2419,17547.77120475943
518,2021-09-14,3843407,19470,17155.44423627529
519,2021-09-15,3870934,27527,16696.061178502816
520,2021-09-16,3890444,19510,16178.583692729326
521,2021-09-17,3908248,17804,15614.38009238682
522,2021-09-18,3925136,16888,15016.610640902361
523,2021-09-19,3933083,7947,14399.48311161198
524,2021-09-20,3934628,1545,13777.431183784725
525,2021-09-21,3949052,14424,13164.275911307363
526,2021-09-22,3967426,18374,12572.433273640481
527,2021-09-23,3983098,15672,12012.228309082824
528,2021-09-24,3994501,11403,11491.368611114005
529,2021-09-25,4008699,14198,11014.61758536672
530,2021-09-26,4016181,7482,10583.691798938626
531,2021-09-27,4018812,2631,10197.388343500308
532,2021-09-28,4029626,10814,9851.928960217543
533,2021-09-29,4043512,13886,9541.489422938635
534,2021-09-30,4058636,15124,9258.86698317545
535,2021-10-01,4068264,9628,8996.226983538938
536,2021-10-02,4077436,9172,8745.863147564265
537,2021-10-03,4083305,5869,8500.905212238264
538,2021-10-04,4084361,1056,8255.912631837786
539,2021-10-05,4093140,8779,8007.3036595477315
540,2021-10-06,4105397,12257,7753.584309279221
541,2021-10-07,4116410,11013,7495.360181188503
542,2021-10-08,4124391,7981,7235.13424743675
543,2021-10-09,4128119,3728,6976.913613327004
544,2021-10-10,4129189,1070,6725.666159057273
545,2021-10-11,4129695,506,6486.682156385918
546,2021-10-12,4135512,5817,6264.905088506739
547,2021-10-13,4140620,5108,6064.299075067519
548,2021-10-14,4162922,22302,5887.317151666616
549,2021-10-15,4168664,5742,5734.525390118746
550,2021-10-16,4175460,6796,5604.423258767216
551,2021-10-17,4178474,3014,5493.482004242093
552,2021-10-18,4180032,1558,5396.401875059646
553,2021-10-19,4184467,4435,5306.567635342567
554,2021-10-20,4191397,6930,5216.662034664541
555,2021-10-21,4196761,5364,5119.380592969715
556,2021-10-22,4202418,5657,5008.179820812039
557,2021-10-23,4206675,4257,4877.985973228663
558,2021-10-24,4209200,2525,4725.793220448346
559,2021-10-25,4210466,1266,4551.088678120074
560,2021-10-26,4215539,5073,4356.056411953048
561,2021-10-27,4221302,5763,4145.532075632085
562,2021-10-28,4224781,3479,3926.7025413440674
563,2021-10-29,4231141,6360,3708.5686997054804
564,2021-10-30,4234996,3855,3501.2123587807455
565,2021-10-31,4238040,3044,3314.927734751586
566,2021-11-01,4238438,398,3159.2925262035474
567,2021-11-02,4242156,3718,3042.2615544161135
568,2021-11-03,4247209,5053,2969.366555235441
569,2021-11-04,4251257,4048,2943.098702756199
570,2021-11-05,4254698,3441,2962.5362977811633
571,2021-11-06,4257615,2917,3023.2598883368896
572,2021-11-07,4260063,2448,3117.5725944210467
573,2021-11-08,4260852,789,3235.0166953650673
574,2021-11-09,4264018,3166,3363.150954135421
575,2021-11-10,4269229,5211,3488.5290767721235
576,2021-11-11,4273003,3774,3597.8003316736085
577,2021-11-12,4277412,4409,3678.840494379017
578,2021-11-13,4280433,3021,3721.816200390469
579,2021-11-14,4283413,2980,3720.0890727431356
580,2021-11-15,4283899,486,3670.87750239973
581,2021-11-16,4287302,3403,3575.6128302060592
582,2021-11-17,4292434,5132,3439.951381899451
