,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
93,2020-07-16,292477,11372,10370.160968456521,3745,154,112.95376863169616,149276.0
94,2020-07-17,306424,13947,10379.055792660944,3915,170,119.65789240900865,155937.0
95,2020-07-18,318175,11751,10312.901724413456,4064,149,127.16903230923141,162191.0
96,2020-07-19,327611,9436,10175.82159030488,4193,129,135.61015367622386,169581.0
97,2020-07-20,335654,8043,9976.192855280895,4277,84,145.05997262032088,172936.0
98,2020-07-21,344484,8830,9726.164205062503,4389,112,155.53920933853172,177871.0
99,2020-07-22,352767,8283,9440.863353051376,4505,116,167.00008350406665,186529.0
100,2020-07-23,364292,11525,9137.35392170996,4738,233,179.32013831692504,195315.0
101,2020-07-24,373803,9511,8833.421631352536,4934,196,192.30119437863928,203826.0
102,2020-07-25,381162,7359,8546.28591409331,5116,182,205.67386876808587,212216.0
103,2020-07-26,390803,9641,8291.340957821085,5291,175,219.107675491304,221510.0
104,2020-07-27,394669,3866,8081.02925886038,5416,125,232.2262833590779,229107.0
105,2020-07-28,401119,6450,7923.940973275668,6112,696,244.6270817987173,229107.0
106,2020-07-29,409885,8766,7824.214437714494,6325,213,255.90382968493802,244449.0
107,2020-07-30,420556,10671,7781.2886395988835,6583,258,265.6708695860602,251346.0
108,2020-07-31,429579,9023,7790.029217048257,6839,256,273.58720667518566,260542.0
109,2020-08-01,440681,11102,7841.218253796735,6979,140,279.37869652581196,273191.0
110,2020-08-02,446789,6108,7922.367408495992,7267,288,282.85666763452735,282604.0
111,2020-08-03,449977,3188,8018.786460595821,7284,17,283.9315202943743,282604.0
112,2020-08-04,459256,9279,8114.817582558074,7448,164,282.62017976951245,297422.0
113,2020-08-05,470160,10904,8195.131496775164,7688,240,279.04671472500246,306262.0
114,2020-08-06,480704,10544,8245.976426222593,8069,381,273.43592916336775,315652.0
115,2020-08-07,488041,7337,8256.27490775579,8929,860,266.1002593247932,323804.0
116,2020-08-08,495960,7919,8218.47678898477,9205,276,257.42081479391885,331668.0
117,2020-08-09,502563,6603,8129.097955060555,9414,209,247.82385453439227,338343.0
118,2020-08-10,507929,5366,7988.901704110756,9523,109,237.75434669655127,344845.0
119,2020-08-11,513939,6010,7802.710833080651,9615,92,227.64849575390983,349833.0
120,2020-08-12,522215,8276,7578.870690365333,9593,-22,217.9072113567039,358312.0
121,2020-08-13,528743,6528,7328.413875180756,9897,304,208.8724312229346,367354.0
122,2020-08-14,535743,7000,7064.003239071347,10135,238,200.80799874908067,375760.0
123,2020-08-15,545700,9957,6798.749078371099,10439,304,193.88645038306,383717.0
124,2020-08-16,552814,7114,6545.007191456092,10629,190,188.1826148258821,393266.0
125,2020-08-17,560484,7670,6313.265845471338,10763,134,183.67440148668823,399572.0
126,2020-08-18,565979,5495,6111.221516514197,10820,57,180.25060111531,405817.0
127,2020-08-19,573798,7819,5943.12624063608,11042,222,177.7249817037748,415903.0
128,2020-08-20,579406,5608,5809.465028954449,11285,243,175.85548115231626,424685.0
129,2020-08-21,584628,5222,5706.992200247293,11536,251,174.36691381842547,431960.0
130,2020-08-22,590409,5781,5629.123275458257,11769,233,172.97535203227346,438825.0
131,2020-08-23,594188,3779,5566.6471031368055,11922,153,171.4122365988002,446030.0
132,2020-08-24,598910,4722,5508.693970529097,12046,124,169.44632058761778,451776.0
133,2020-08-25,603381,4471,5443.872164581079,12103,57,166.90175370789572,457182.0
134,2020-08-26,609534,6153,5361.469851849849,12277,174,163.67095299972996,466550.0
135,2020-08-27,615772,6238,5252.612642752429,12469,192,159.72135094404987,472421.0
136,2020-08-28,619814,4042,5111.270391544595,12691,222,155.09562705057624,478752.0
137,2020-08-29,625053,5239,4935.019404685398,12859,168,149.90557046566312,484880.0
138,2020-08-30,630092,5039,4725.487202342627,12987,128,144.32024400087656,492921.0
139,2020-08-31,632865,2773,4488.434481075444,13064,77,138.5495807948347,499518.0
140,2020-09-01,636201,3336,4233.460565141224,13105,41,132.82490555361386,507499.0
141,2020-09-02,641231,5030,3973.3516493147968,13240,135,127.37810354172211,514861.0
142,2020-09-03,645406,4175,3723.1226446891997,13417,177,122.42124387215986,522087.0
143,2020-09-04,648964,3558,3498.830687695835,13603,186,118.1283934410354,527359.0
144,2020-09-05,654952,5988,3316.2589794323794,13729,126,114.62114140635784,532223.0
145,2020-09-06,659411,4459,3189.5817839483757,13873,144,111.95901115651179,538282.0
146,2020-09-07,661911,2500,3130.12406244991,13950,77,110.13549765235393,543412.0
147,2020-09-08,662778,867,3145.322114736113,13997,47,109.07997127982803,543412.0
148,2020-09-09,666409,3631,3237.9753452907394,14099,102,108.66517803027784,553409.0
149,2020-09-10,671279,4870,3405.855266578221,14229,130,108.71958400964627,558894.0
150,2020-09-11,673462,2183,3641.7081612191337,14245,16,109.04340120451661,564114.0
151,2020-09-12,679032,5570,3933.6549989878094,14522,277,109.42682595884878,568067.0
152,2020-09-13,681899,2867,4265.959058176755,14629,107,109.66884723169099,568067.0
153,2020-09-14,686166,4267,4620.101066136832,14709,80,109.59495237878005,577832.0
154,2020-09-15,690216,4050,4976.076156031793,14753,44,109.0721752165321,577832.0
155,2020-09-16,697241,7025,5313.808690320133,14895,142,108.02018304657312,585912.0
156,2020-09-17,701187,3946,5614.571546040841,15033,138,106.41746303924846,590837.0
157,2020-09-18,705749,4562,5862.296550902243,15121,88,104.30211120128467,594817.0
158,2020-09-19,709198,3449,6044.672338956808,15232,111,101.7672097036877,600662.0
159,2020-09-20,712051,2853,6153.944086457578,15323,91,98.95125802604717,605522.0
160,2020-09-21,717727,5676,6187.3547896331565,15366,43,96.0245581170975,609210.0
161,2020-09-22,739487,21760,6147.1977687990075,15417,51,93.17280572244863,611856.0
162,2020-09-23,746471,6984,6040.482347581426,15521,104,90.57937883728636,613896.0
163,2020-09-24,747945,1474,5878.246415138225,15644,123,88.40791967984954,618054.0
164,2020-09-25,752811,4866,5674.578156266202,15782,138,86.78677027381389,642169.0
165,2020-09-26,756802,3991,5445.432251016768,15884,102,85.79664781705152,646143.0
166,2020-09-27,760281,3479,5207.341422748478,15987,103,85.4626507295064,649580.0
167,2020-09-28,765003,4722,4976.1311263930875,16029,42,85.75129643361129,652376.0
168,2020-09-29,767990,2987,4765.7429431542605,16092,63,86.57284251468994,657407.0
169,2020-09-30,774438,6448,4587.261192260218,16179,87,87.78867396156004,661038.0
170,2020-10-01,778057,3619,4448.218439070548,16288,109,89.22309220173251,664883.0
171,2020-10-02,781843,3786,4352.230672189729,16402,114,90.67845592824362,668515.0
172,2020-10-03,787698,5855,4298.984132866042,16501,99,91.95233291774093,672144.0
173,2020-10-04,793064,5366,4284.5655988250555,16571,70,92.8551512163231,677244.0
174,2020-10-05,795520,2456,4302.098924651561,16601,30,93.22680151336829,680083.0
175,2020-10-06,799793,4273,4342.625256430298,16717,116,92.95074256529207,683700.0
176,2020-10-07,806225,6432,4396.14466091357,16808,91,91.96438840814369,687277.0
177,2020-10-08,811391,5166,4452.724514841238,16928,120,90.26488889468607,692123.0
178,2020-10-09,815327,3936,4503.575823103698,17034,106,87.90982366558391,695194.0
179,2020-10-10,819912,4585,4542.002900496163,17130,96,85.012777379924,698481.0
180,2020-10-11,824119,4207,4564.144069442108,17208,78,81.73421105330286,701583.0
181,2020-10-12,826196,2077,4569.440041105379,17239,31,78.26845120814163,703662.0
182,2020-10-13,828815,2619,4560.790752108275,17271,32,74.8279496209856,705189.0
183,2020-10-14,834761,5946,4544.388516581679,17360,89,71.62619314734584,708349.0
184,2020-10-15,840829,6068,4529.243101987979,17464,104,68.860746302477,711438.0
185,2020-10-16,845717,4888,4526.440410498334,17558,94,66.69788098620457,716015.0
186,2020-10-17,851830,6113,4548.198690600632,17653,95,65.26009171990736,719478.0
187,2020-10-18,856684,4854,4606.802819677478,17723,70,64.61752609258966,723204.0
188,2020-10-19,862191,5507,4713.506893018312,17753,30,64.78400375217002,726231.0
189,2020-10-20,865445,3254,4877.497433391949,17777,24,65.71788576195928,729762.0
190,2020-10-21,870980,5535,5105.003948370518,17851,74,67.32762660705217,733758.0
191,2020-10-22,877928,6948,5398.630896109567,17944,93,69.48143195947644,739140.0
192,2020-10-23,880754,2826,5756.966533417416,17961,17,72.02009267030701,744283.0
193,2020-10-24,887961,7207,6174.501236290326,18077,116,74.77180010570773,748252.0
194,2020-10-25,897630,9669,6641.86264607713,18214,137,77.5675925085772,753611.0
195,2020-10-26,901131,3501,7146.349499880113,18261,47,80.25604909466855,755095.0
196,2020-10-27,907706,6575,7672.722324190259,18299,38,82.71593951926096,758192.0
197,2020-10-28,914584,6878,8204.189186176058,18383,84,84.86574148667357,763108.0
198,2020-10-29,921888,7304,8723.509946505565,18489,106,86.66923878417583,767905.0
199,2020-10-30,928809,6921,9214.134022492042,18606,117,88.13677781330121,772350.0
200,2020-10-31,934760,5951,9661.285098739263,18714,108,89.32215903736754,776580.0
201,2020-11-01,942850,8090,10052.911498865536,18788,74,90.31553440237019,782006.0
202,2020-11-02,975717,32867,10380.432493931376,18840,52,91.23303722607172,782006.0
203,2020-11-03,982529,6812,10639.227621906015,18882,42,92.20415576313238,787685.0
204,2020-11-04,992250,9721,10828.836689944872,18987,105,93.35805089686139,792286.0
205,2020-11-05,1003342,11092,10952.860826245726,19127,140,94.81009637860603,797586.0
206,2020-11-06,1014091,10749,11018.5779190504,19255,128,96.6498812056218,802611.0
207,2020-11-07,1023763,9672,11036.307232053812,19386,131,98.93176322431358,807008.0
208,2020-11-08,1031453,7690,11018.576290253939,19489,103,101.66881605629877,811330.0
209,2020-11-09,1039049,7596,10979.156949529508,19535,46,104.83069171477193,820215.0
210,2020-11-10,1046241,7192,10932.045942662464,19589,54,108.34555883954413,820156.0
211,2020-11-11,1058874,12633,10890.467625725845,19710,121,112.10590482922069,826116.0
212,2020-11-12,1072157,13283,10865.973093953357,19849,139,115.97764314834897,831800.0
213,2020-11-13,1083440,11283,10867.700715738492,20124,275,119.81167585565095,838950.0
214,2020-11-14,1096469,13029,10901.849278626974,20153,29,123.45685150202154,850648.0
215,2020-11-15,1107456,10987,10971.3975178807,20283,130,126.77314772611861,861205.0
216,2020-11-16,1115378,7922,11076.0842078896,20373,90,129.64390453057263,871784.0
217,2020-11-17,1124116,8738,11212.642764056389,20420,47,131.98603677194617,875521.0
218,2020-11-18,1137495,13379,11375.264958486036,20536,116,133.75735157479784,883223.0
219,2020-11-19,1151317,13822,11556.251320800991,20714,178,134.9603684189527,889099.0
220,2020-11-20,1165609,14292,11746.792292341517,20924,210,135.64236024919234,896191.0
221,2020-11-21,1179707,14098,11937.815155890195,21096,172,135.89167282976416,901943.0
222,2020-11-22,1192973,13266,12120.827755680955,21249,153,135.83070532087916,909137.0
223,2020-11-23,1201930,8957,12288.691258665483,21340,91,135.60621814558132,913796.0
224,2020-11-24,1210459,8529,12436.260512470139,21395,55,135.37784968002927,917739.0
225,2020-11-25,1231319,20860,12560.84139571098,21589,194,135.30585302413263,927331.0
226,2020-11-26,1248700,17381,12662.429089213296,21784,195,135.53909841503565,935011.0
227,2020-11-27,1256127,7427,12743.708334002562,21965,181,136.204325257571,943457.0
228,2020-11-28,1261000,4873,12809.815229909145,22026,61,137.3974788684063,946663.0
229,2020-11-29,1267016,6016,12867.878635517665,22130,104,139.17774756108327,950586.0
230,2020-11-30,1281337,14321,12926.376436229362,22199,69,141.56464867405586,954465.0
231,2020-12-01,1291458,10121,12994.35663124136,22271,72,144.53822459802655,962639.0
232,2020-12-02,1306735,15277,13080.584308058,22473,202,148.04213012627483,976517.0
233,2020-12-03,1327263,20528,13192.68232318979,22684,211,151.98914737182855,993151.0
234,2020-12-04,1346216,18953,13336.335380940798,22910,226,156.2684767980678,1003141.0
235,2020-12-05,1360818,14602,13514.624013764378,23142,232,160.75403903121605,1012700.0
236,2020-12-06,1374889,14071,13727.546868939437,23353,211,165.3129906668031,1022297.0
237,2020-12-07,1387163,12274,13971.777177072252,23433,80,169.81370826727766,1030716.0
238,2020-12-08,1394656,7493,14240.683099262014,23491,58,174.1326197244151,1038806.0
239,2020-12-09,1414125,19469,14524.622859132112,23661,170,178.15944517069053,1050416.0
240,2020-12-10,1428656,14531,14811.505396517985,23930,269,181.8006289189246,1062398.0
241,2020-12-11,1444808,16152,15087.587087092255,24127,197,184.9809742451467,1074579.0
242,2020-12-12,1460691,15883,15338.456252397687,24359,232,187.6437081180463,1157334.0
243,2020-12-13,1474276,13585,15550.141086301894,24542,183,189.7493790290042,1167975.0
244,2020-12-14,1483168,8892,15710.264460692075,24637,95,191.27410815126652,1176377.0
245,2020-12-15,1493486,10318,15809.161841440553,24684,47,192.20775898121548,1185628.0
246,2020-12-16,1514508,21022,15840.876950268734,24894,210,192.55255823007198,1203398.0
247,2020-12-17,1536275,21767,15803.954204006295,25160,266,192.32259453467546,1216415.0
248,2020-12-18,1553765,17490,15701.95731476986,25406,246,191.54445343687712,1216415.0
249,2020-12-19,1570908,17143,15543.659300495805,25736,330,190.25903621303206,1245339.0
250,2020-12-20,1585167,14259,15342.869693962477,25920,184,188.52438106030868,1260984.0
251,2020-12-21,1594965,9798,15117.888745203329,26034,114,186.41908527776573,1269014.0
252,2020-12-22,1607985,13020,14890.60438044614,26144,110,184.04574384173756,1279067.0
253,2020-12-23,1629816,21831,14685.273888177397,26322,178,181.53369766700408,1297294.0
254,2020-12-24,1652488,22672,14527.056918445549,26580,258,179.0403427233994,1311851.0
255,2020-12-25,1661626,9138,14440.387586316816,26868,288,176.75030002933892,1326975.0
256,2020-12-26,1664941,3315,14447.289586692748,27051,183,174.87188799484682,1332913.0
257,2020-12-27,1670355,5414,14565.7478458293,27075,24,173.6305643093619,1339447.0
258,2020-12-28,1699194,28839,14808.25232974129,27130,55,173.25929667862664,1346963.0
259,2020-12-29,1707818,8624,15180.6236570058,27205,75,173.98615414304157,1357576.0
260,2020-12-30,1732971,25153,15681.216127635764,27436,231,176.01975145867513,1387358.0
261,2020-12-31,1754975,22004,16300.572265464436,27741,305,179.5334930979763,1402336.0
