,date,total_confirmed,new_confirmed,new_confirmed_after_fft,new_confirmed_after_sg,new_confirmed_after_convolve,total_deaths,new_deaths,new_death_after_fft,new_death_after_sg,new_death_after_convolve,total_recovered
92,2020-07-15,3445031,66940,64562.40712371883,57221.35813953589,108637.08721860466,136230,874,770.0886831770936,773.6179635615504,2100.0369488372094,136230
93,2020-07-16,3512940,67909,66203.35598153985,57996.85621907799,110244.07929302326,137170,940,791.4544254804823,782.6091934653386,2106.2343069767444,137170
94,2020-07-17,3588855,75915,67679.66277121176,58733.197646309985,111827.06667906979,138131,961,811.5066043913951,791.9289685229639,2100.8202790697674,138131
95,2020-07-18,3660987,72132,68900.6892687084,59428.23240330341,113500.79382325582,139020,889,830.3041543736525,801.5431323345636,2092.507646511628,139020
96,2020-07-19,3725787,64800,69789.26437850324,60079.92137629099,115094.70824186048,139893,873,848.1612765175676,811.4164248266586,2082.7683348837213,139893
97,2020-07-20,3787931,62144,70288.85834866369,60686.34378910615,116179.66091162794,140331,438,865.5837885121515,821.512609934143,2066.714306976744,140331
98,2020-07-21,3847580,59649,70368.88643104682,61245.70423572679,117698.51278139539,140717,386,883.1853765356008,831.7946069986203,2076.080334883721,140717
99,2020-07-22,3913634,66054,70027.64990065846,61756.33929242811,119485.30388837212,141795,1078,901.5928955727626,842.2246252142363,2100.341655813954,141795
100,2020-07-23,3983784,70150,69292.64599256084,62216.72369196231,121423.96632558138,142995,1200,921.3507925129926,852.7643004655904,2124.347758139535,142995
101,2020-07-24,4051800,68016,68218.22607785907,62625.47604392296,123287.25019534878,144106,1111,942.8346648461257,863.3748339250535,2118.917469767442,144106
102,2020-07-25,4126819,75019,66880.82980388188,62981.364087476715,124957.36398139539,145303,1197,966.1829385243899,874.0171317866952,2116.761897674419,145303
103,2020-07-26,4193142,66323,65372.24857234817,63283.309464431455,126609.4618790698,146294,991,991.253763881242,884.6519455356711,2118.0012279069765,146294
104,2020-07-27,4250669,57527,63791.5535153718,63530.39200227907,128015.85637209304,146829,535,1017.6116794488725,895.240012175125,2119.194604651162,146829
105,2020-07-28,4306738,56069,62236.44420693845,63721.853498948025,129458.78671627905,147926,1097,1044.545630922391,905.7421938471509,2127.1466790697677,147926
106,2020-07-29,4370753,64015,60794.82369315352,63857.10100238254,131260.6413767442,149080,1154,1071.1168427093053,916.1196163184445,2159.3303813953485,149080
107,2020-07-30,4438829,68076,59537.378837193115,63935.709580025505,133145.82809302327,150488,1408,1096.2321170805462,926.3338058036288,2188.0187906976744,150488
108,2020-07-31,4507280,68451,58511.84542842753,63957.42457513415,134711.11278139535,151906,1418,1118.7356561628517,936.3468236500644,2192.9662139534885,151906
109,2020-08-01,4575704,68424,57739.474822466305,63922.16334776516,136089.8856930233,153119,1213,1137.5106953538238,946.1213984059043,2199.9546790697673,153119
110,2020-08-02,4635877,60173,57214.00876296032,63830.01650107524,137435.68167441862,154262,1143,1151.5812679455273,955.6210548339036,2210.751627906977,154262
111,2020-08-03,4682289,46412,56903.23155437018,63681.24859368088,138543.0320744186,154727,465,1160.2043742723793,964.8102394569976,2223.7946418604647,154727
112,2020-08-04,4728367,46078,56752.926422723,63476.29834173356,139572.50757209305,155292,565,1162.943701824741,973.6544422338266,2241.7143813953485,155292
113,2020-08-05,4783751,55384,56692.83854683659,63215.77831468472,141024.30764651162,156572,1280,1159.7177468488153,982.120314010423,2278.1017674418604,156572
114,2020-08-06,4838995,55244,56644.06185666734,62900.474130785675,142180.74556279072,157993,1421,1150.8175576703677,990.1757793972247,2307.0333767441857,157993
115,2020-08-07,4896371,57376,56527.13746881107,62531.34315944293,143038.09413953486,159776,1783,1136.8921295871608,997.7901447638003,2317.27888372093,159776
116,2020-08-08,4957742,61371,56270.09035842875,62109.51273893275,143892.06336744188,161074,1298,1118.9024661407752,1004.9342010487878,2325.9131906976745,161074
117,2020-08-09,5013793,56051,55815.64287923712,61636.277919027896,144507.82314418603,162153,1079,1098.0482035652158,1011.5803211409243,2231.000855813954,162153
118,2020-08-10,5063017,49224,55126.927436286736,61113.09873944153,144775.80197209303,162725,572,1075.67320802832,1017.7025515689584,2245.0810046511633,162725
119,2020-08-11,5108278,45261,54191.16765234883,60541.59705609278,145291.7458232558,163235,510,1053.1584694061062,1023.2766983036681,2267.5543813953486,163235
120,2020-08-12,5161168,52890,53020.9935012802,59923.55292796173,145810.65544186052,164341,1106,1031.811758720142,1028.2804064723668,2302.035758139534,164341
121,2020-08-13,5213490,52322,51653.28233202119,59260.90057882594,146471.57830697673,165844,1503,1012.7637897249418,1032.6932338278295,2335.880855813954,165844
122,2020-08-14,5264929,51439,50145.65295802068,58555.723948380066,146675.73198139537,166890,1046,996.8800102440283,1036.4967178215134,2315.26894883721,166890
123,2020-08-15,5330009,65080,48570.961823869446,57810.251848621236,146654.15293023255,168200,1310,984.6957093482365,1039.674436170876,2329.5633116279073,168200
124,2020-08-16,5380406,50397,47010.33786334903,57026.852742358285,146392.8960372093,169246,1046,976.380001010125,1042.2120608214027,2339.3987720930236,169246
125,2020-08-17,5421270,40864,45545.428553738035,56208.02916024247,146148.36904186045,169850,604,971.7316335071296,1044.0974052297179,2351.2116465116287,169850
126,2020-08-18,5456359,35089,44250.60133825066,55356.411775302055,146250.15531162792,170314,464,970.2067189021095,1045.320464926709,2387.8075906976746,170314
127,2020-08-19,5499385,43026,43185.84563123559,54474.75315276791,146284.01879069768,171532,1218,970.975640215495,1045.8734513095274,2423.2554046511636,171532
128,2020-08-20,5542976,43591,42391.05131437289,53565.92119447235,146528.6850604651,172838,1306,973.0038324589237,1045.7508186855553,2456.2061767441855,172838
129,2020-08-21,5587507,44531,41882.20686184572,52632.8922974282,145981.35214883718,173944,1106,975.149076292717,1044.9492845466973,2442.1401674418607,173944
130,2020-08-22,5637003,49496,41649.876808042616,51678.7442466939,145409.26656744187,175048,1104,976.2665696119191,1043.4678431212687,2447.91616744186,175048
131,2020-08-23,5682001,44998,41660.10168943092,50706.64886267409,144742.54295813953,176036,988,975.3124681145736,1041.307772258067,2440.0277209302317,176036
132,2020-08-24,5716804,34803,41857.63436697949,49719.86442334327,143617.1307162791,176526,490,971.4368518259892,1038.4726336961737,2444.778604651163,176526
133,2020-08-25,5752138,35334,42171.206356393566,48721.7278832693,142869.9489116279,176970,444,964.0581446441046,1034.968266806061,2452.9258046511627,176970
134,2020-08-26,5792924,40786,42520.327094479355,47715.64690898145,142142.89190697676,178205,1235,952.9127797062796,1030.8027759191318,2479.8672744186047,178205
135,2020-08-27,5835285,42361,42822.975701223906,46705.09175371866,141625.5984372093,179376,1171,938.0761947293546,1025.986511323296,2508.187348837209,179376
136,2020-08-28,5881532,46247,43003.461978663414,45693.58699148739,140519.3693023256,180503,1127,919.9538434183023,1020.5320441167557,2509.0958139534882,180503
